# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
13	mail.ru
18	dzen.ru
93	nic.ru
98	yandex.ru
104	okcdn.ru
134	vkuserphoto.ru
148	reg.ru
160	yccdn.ru
175	mts.ru
203	ozon.ru
233	vk.ru
239	wildberries.ru
244	geobasket.ru
291	telecid.ru
297	mangosip.ru
310	ok.ru
324	drom.ru
360	crpt.ru
370	selectel.ru
377	vkontakte.ru
392	ivi.ru
406	netangels.ru
431	tld-servers.ru
443	sberbank.ru
457	edgecdn.ru
458	adriver.ru
474	gosuslugi.ru
545	timeweb.ru
563	imgsmail.ru
574	avito.ru
607	wb.ru
615	cdnvideo.ru
650	ozone.ru
674	consultant.ru
700	bitrix24.ru
703	ya.ru
711	rt.ru
721	magnit.ru
750	cdn-vk.ru
783	wbbasket.ru
828	mhverifier.ru
833	dbankcloud.ru
865	cmediahub.ru
909	dtkn.ru
920	kontur.ru
948	rutube.ru
968	rtbcdn.ru
1015	stbid.ru
1019	vk-analytics.ru
1042	rambler.ru
1116	sf-cloud.ru
1135	t-bank-app.ru
1141	alrosa.ru
1146	pikabu.ru
1160	megafon.ru
1163	rbc.ru
1169	gismeteo.ru
1206	tabor.ru
1209	ad-tech.ru
1244	oneme.ru
1315	russianpost.ru
1326	beboo.ru
1347	edna.ru
1391	mangabuff.ru
1400	tbank.ru
1530	tinkoff.ru
1557	dns-shop.ru
1596	imgsrc.ru
1612	1c.ru
1704	google.ru
1754	hh.ru
1821	max.ru
1845	firstvds.ru
1852	gdemoideti.ru
1855	rustore.ru
1883	vtb.ru
1884	jino.ru
1898	beeline.ru
1929	0123tt.ru
1964	sweb.ru
1984	123tt.ru
2008	hwcdn.ru
2030	giex.ru
2038	amocrm.ru
2045	magonet.ru
2049	cdek.ru
2051	mindbox.ru
2080	2gis.ru
2124	clients-cdnnow.ru
2179	mos.ru
2223	serving-sys.ru
2225	ria.ru
2239	beget.ru
2260	tutu.ru
2297	kinopoisk.ru
2356	smi2.ru
2362	vkvideo.ru
2370	linkis.ru
2429	vkuseraudio.ru
2431	futbol-libres.su
2439	x5.ru
2463	mwscdn.ru
2489	mirtesen.ru
2503	roskazna.ru
2506	ucoz.ru
2563	vp3n.ru
2573	rostelecom.ru
2640	hostingradio.ru
2651	spb.ru
2663	raiffeisen.ru
2670	spaceweb.ru
2719	alfabank.ru
2765	supercdn.ru
2779	apptracer.ru
2796	saby.ru
2882	narod.ru
2911	rosminzdrav.ru
2928	ihc.ru
2958	hoster.ru
2961	sbis.ru
2974	t2.ru
3058	sberdevices.ru
3070	atsenergo.ru
3128	lenta.ru
3146	likeevideo.ru
3175	pp.ru
3221	profi.ru
3228	rian.ru
3237	futbol-libre.su
3247	test-uz.ru
3295	tokeon.ru
3320	rzd.ru
3322	iz.ru
3335	mfms.ru
3341	aeroflot.ru
3428	nalog.ru
3434	macomnet.ru
3448	cbr.ru
3471	org.ru
3501	betcity.ru
3503	selcloud.ru
3529	net.ru
3626	sprinthost.ru
3651	matchtv.ru
3652	garant.ru
3675	vseinstrumenti.ru
3703	ktalk.ru
3726	tass.ru
3727	cian.ru
3732	banki.ru
3737	whost-solutions.ru
3882	samokat.ru
3890	protek.ru
3912	servicepipe.ru
3915	mgts.ru
3925	finam.ru
3938	playfamily.ru
3950	kp.ru
3962	insales.ru
3979	aif.ru
3995	bngf.ru
4003	vkusvill.ru
4006	tns-counter.ru
4033	fotostrana.ru
4088	alltel24.ru
4098	dzeninfra.ru
4100	vkplay.ru
4121	onlinepbx.ru
4145	stocrm.ru
4192	ugtelset.ru
4221	voskhod.ru
4249	mk.ru
4303	sports.ru
4309	adfox.ru
4319	goldapple.ru
4362	uxfeedback.ru
4402	cbrpay.ru
4420	pik.ru
4425	aliexpress.ru
4467	hse.ru
4475	sendsay.ru
4535	gslbnspk.ru
4582	sovcombank.ru
4583	aviasales.ru
4585	litres.ru
4598	gazprombank.ru
4626	bspb.ru
4652	jivo.ru
4678	liveinternet.ru
4708	pochta.ru
4736	ertelecom.ru
4763	rg.ru
4830	videonow.ru
4844	nag.ru
4863	kremlin.ru
4868	abcp.ru
4869	msu.ru
4892	rusprofile.ru
4893	kommersant.ru
4947	cloudrc.ru
4982	vc.ru
4993	yandex-team.ru
5048	drive2.ru
5058	kion.ru
5061	thepoizon.ru
5082	kvant-telecom.ru
5112	atol.ru
5117	interfax.ru
5146	myrostelecom.ru
5152	farpost.ru
5241	vedomosti.ru
5251	tw1.ru
5282	ix.ru
5289	azbyka.ru
5375	sber.ru
5453	nashjournal.ru
5480	ufanet.ru
5481	sintecgroup.ru
5487	rshb.ru
5519	zonatelecom.ru
5545	1tv.ru
5552	radiopotok.ru
5561	weborama-tech.ru
5596	nspk.ru
5643	aqsi.ru
5712	sape.ru
5728	mcx.ru
5739	hikvision-cctv.su
5745	domru.ru
5813	sportbox.ru
5824	apiblink.ru
5838	mango-office.ru
5915	pro32connect.ru
5918	cmd.su
6025	hiddenvpn.ru
6027	vdsina.ru
6034	digitaltarget.ru
6057	ibscorp.ru
6077	auto.ru
6078	msk.ru
6097	planfix.ru
6098	mtu.ru
6101	stroyserviceru.ru
6108	cgood.ru
6125	rutarget.ru
6174	prosv.ru
6199	cdn-tinkoff.ru
6210	dellin.ru
6214	adplay.ru
6245	playtopgames.ru
6272	sportsapi.ru
6332	tander.ru
6335	mvideo.ru
6336	playground.ru
6345	punchmedia.ru
6357	irecommend.ru
6398	odnoklassniki.ru
6423	ugsk.ru
6430	orangedata.ru
6494	gazeta.ru
6511	yutex.ru
6523	phosagro.ru
6525	firstbytedns.ru
